id,nama,perusahaan,jenis_pestisida,no_registrasi,tgl_terbit,tgl_berakhir
239,FOLICUR 25 WP,BAYER INDONESIA,Fungisida,01020119931121,2023-04-26,2028-04-26
240,ERUGA 50 SP,TAPAL KOEDA INDONESIA,Insektisida,01010120217043,2026-01-20,2031-01-20
241,ASIATOP 288 SL*,PT.ASIANA CHEMICALINDO LESTARI,Herbisida,01030120196241,2024-03-05,2029-03-05
242,SUPORTAN 500 SL,BERBAK AGRO SEJATI,Insektisida,01010120237818,2023-04-26,2028-04-26
243,ANDALAN 400 SC,ADVANSIA INDOTANI,Herbisida,01030120165482,2026-01-20,2031-01-20
244,HERBAZOL 720 SL,AGROMANNA JAYA LESTARI,Herbisida,01030120103632,2024-11-18,2029-11-18
245,FONIUM 200 SL,AGRO JAYA INDONESIA,Herbisida,01030120206883,2025-09-26,2030-09-26
246,KAUTANG 50 WP,SANTANI AGRO PERKASA,Fungisida,01020120237898,2023-08-28,2028-08-28
247,BARCODE 505 SL,SARAREA PANEN RAYA,Insektisida,01010120155335,2025-07-11,2030-07-11
248,HIT 12.13 LV,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120258945,2025-09-26,2030-09-26
249,CENTATOP 276 SL*,AGROTECH PESTICIDE INDUSTRY,Herbisida,01030120113967,2026-04-20,2031-04-20
250,GMAX 18 EC,ARTHA BUANA MANDIRI,Insektisida,01010120186036,2023-08-28,2028-08-28
251,MOLABRAS PLUS 0.01/1.99 WG,RAINBOW AGROSCIENCES,Zat Pengatur Tumbuh Tanaman,01040120258840,2025-07-11,2030-07-11
252,LABAS 480 SL,SARI KRESNA KIMIA,Herbisida,01030120238146,2024-03-05,2029-03-05
253,SAGRI-SNAIL 63/10 WP,SATYA AGRO INDONESIA,Moluskisida,01050120196387,2024-08-09,2029-08-09
254,VERTHON 50 SC,INTI EVERSPRING INDONESIA,Insektisida,01010120259145,2025-11-13,2030-11-13
255,QUATIS 276 SL,BERBAK AGRO SEJATI,Herbisida,01030120238050,2024-03-04,2029-03-04
256,SAPPORO 52 EC,SANTANI AGRO MANDIRI,Insektisida,01010120155266,2025-02-17,2030-02-17
257,GULPROXONE 276 SL*,JIVA AGRICULTURE INDONESIA,Herbisida,01030120258781,2025-07-11,2030-07-11
258,SERUNI 100 EC,AGRO GUNA MAKMUR,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120031848,2024-03-05,2029-03-05
259,EMATOAT 500 EC,TIGA MUARA EMAS MAKMUR,Insektisida,01010120206919,2026-01-20,2031-01-20
260,"HARAKA 0,005 BB",DELTA GIRI WACANA,Rodentisida,01120120124466,2022-06-27,2027-06-27
261,BISTAR 10 TK,BINA GUNA KIMIA,Insektisida,0420221046,2022-10-04,2027-10-04
262,DASATRIN 110 EC,PT. FORTUNA MULIA SEJATI,Insektisida,01010120083268,2023-02-08,2028-02-08
263,CHIX-GOLD 175/125 SC,UPL INDONESIA,Insektisida,01010120206605,2025-02-17,2030-02-17
264,VIRYA 300/150 SC,MAXXI AGRI INDONESIA,Fungisida,01020120248562,2024-11-18,2029-11-18
265,KEN-TEC 276 SL*,KENSO INDONESIA,Herbisida,01030120083199,2023-04-26,2028-04-26
266,SQUAD 200 SL,PETROKIMIA KAYAKU,Herbisida,01030120093496,2023-08-28,2028-08-28
267,EMPIRE 280 EC,GOLDEN FARM INDONESIA,Insektisida,01010120175687,2022-10-04,2027-10-04
268,MTM 77 SP,PERSADA AGRO SUKSES,Insektisida,01010120217210,2025-09-26,2030-09-26
269,PRIMA-FUR 3 GR,NUTRI AGRO INDONESIA,Insektisida,01010120031778,2023-08-28,2028-08-28
270,ZORVEC ENCANTIA 300/30 SE,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Fungisida,01020120165558,2026-01-20,2031-01-20
271,SIGPLUS TURBO 276 SL*,REJEKI INDO AGROTEC,Herbisida,01030120248700,2025-02-17,2030-02-17
272,FLYDROP 1 GB,AGRO JAYA INDUSTRI,Pestisida untuk peternakan,02140120269369,2026-04-20,2031-04-20
273,TIRAYAP 200 SL,NUGROHO PRATAMA CHEMICA ASIA,Bahan pengawet kayu,04110120103800,2025-07-11,2030-07-11
274,NEOCRON 80 OL,INTI EVERSPRING INDONESIA,Herbisida,01030120155313,2025-02-17,2030-02-17
275,CONDIOR 25 WP,Agro Bumi Timur,Insektisida,01010120259045,2025-11-13,2030-11-13
276,STARNOVA 50/100 OD,CV. Raja Grafika,Insektisida,01010120217265,2022-01-14,2027-01-14
277,GRANDALLY 25 WP,TIGA MUARA EMAS MAKMUR,Herbisida,01030120134579,2022-12-05,2027-12-05
278,BASTNATE 200 SL,RAINBOW AGROSCIENCES,Herbisida,01030120134551,2022-12-05,2027-12-05
279,BRIGGS 480 SL,DALZON CHEMICALS INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120103712,2024-03-04,2029-03-04
280,BRODIFACOUM 96 TC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Rodentisida,042018560,2024-08-09,2029-08-09
281,TRUSTINATE 200 SL,TRUSTCHEM AGRO INDONESIA,Herbisida,01030120248439,2024-09-19,2029-09-19
282,RING UP 480 SL,AGRO DYNAMICS INDO,Herbisida,01030120093485,2024-08-09,2029-08-09
283,TRISULA 450 SL,MULTI SARANA INDOTANI,Insektisida,01010120072820,2024-03-04,2029-03-04
284,KANTE 120/180 SC,BIOTEK SARANA INDUSTRI,Insektisida,01010120259223,2026-01-20,2031-01-20
285,PASFOS 500 EC,PERSADA AGRO SUKSES,Insektisida,01010120248525,2024-11-18,2029-11-18
286,VAPE LIQUID e90 LV,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,032009220,2024-03-04,2029-03-04
287,SPIKERHYTHM 350 EC,MULTI AGRO JAYA UTAMA,Herbisida,01030120238198,2024-03-05,2029-03-05
288,BELU 50 EC,YANNO AGRO SCIENCE INDONESIA,Insektisida,01010120227498,2022-12-05,2027-12-05
289,CAPOLO 52 EC,Agro Bumi Timur,Insektisida,01010120258750,2025-07-11,2030-07-11
290,ROLLMAS 480 SL,ROLIMEX KIMIA NUSAMAS,Herbisida,01030120259117,2025-11-13,2030-11-13
291,TURBOID 70 WP,PRIMA KARYA BERJAYA,Moluskisida,03050120175758,2022-10-04,2027-10-04
292,C-PHOS 56 TB*,CATUR AGRODAYA MANDIRI,Fumigan,05100120134675,2024-03-04,2029-03-04
293,LIGNITE 200/100 SC,DELTA GIRI WACANA,Insektisida,01010120248509,2024-11-18,2029-11-18
294,ON-ZEB 85 WP,PERSADA AGRO SUKSES,Fungisida,01020120227338,2022-06-27,2027-06-27
295,OPTIMECT 18 EC,SARAREA PANEN RAYA,Insektisida,01010120155379,2025-07-11,2030-07-11
296,HIT 7.5 LV,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120175694,2022-06-27,2027-06-27
297,CELCRON 500 EC,EXCEL MEG INDO,Insektisida,01010120113882,2025-02-17,2030-02-17
298,INTERTEN 20/60 WG,INTER AGRO INDONESIA,Insektisida,01010120227425,2022-10-04,2027-10-04
299,INNOMAN ® HQ,TRITUNGGAL ARTHAMAKMUR,Bakterisida,0420231165,2023-04-26,2028-04-26
300,PRIMA-GOAL 240 EC,PRIMA KARYA BERJAYA,Herbisida,01030120269626,2026-07-16,2031-07-16
301,THRUSER 350 FS,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,01010120217222,2026-01-20,2031-01-20
302,GLIFOSAT 95 TC,NATHANI CHEMICALS,Herbisida,042017468,2023-02-08,2028-02-08
303,ELESTAL NEO 30/24 WG,SYNGENTA INDONESIA,Insektisida,01.01.01.2021.7272,2022-01-14,2027-01-14
304,GLYPHOSATE 95 TC,SAPROTAN UTAMA NUSANTARA,Herbisida,0420163,2026-04-20,2031-04-20
305,"PETROKUM 0,005 BB",PETROKIMIA KAYAKU,Rodentisida,0112011989891,2024-08-09,2029-08-09
306,AMESUPER 500 SC,SINAMYANG INDONESIA,Herbisida,01030120145031,2024-03-05,2029-03-05
307,SPECIAL 240 SL,TRIBINA TANIKARYA,Herbisida,01030120021710,2024-03-04,2029-03-04
308,BT MAX WP,PRIMA AGRO TECH,Insektisida,01010120227288,2022-06-27,2027-06-27
309,REXPRONIL 50 SC,NUSA MANDIRI UTAMA,Insektisida,01010120165639,2026-04-20,2031-04-20
310,MORFUS 720 SC,ALBAUGH AGRO INDONESIA,Fungisida,01020120144947,2024-09-19,2029-09-19
311,FIPROZOLE 50 SC,RAINBOW AGROSCIENCES,Insektisida,01010120248613,2025-02-17,2030-02-17
312,FLUFENAZOPYR 98 TC,KINGAGROOT BIOTECHNOLOGY INDONESIA,Herbisida,0420261482,2026-04-20,2031-04-20
313,VAPE 1.2 MV,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,032013327,2023-04-26,2028-04-26
314,METHOMYL 40 SP,DELTA GIRI WACANA,Insektisida,032025603,2025-09-26,2030-09-26
315,GLYPHOSATE 95 TC,MAHKOTA AGRO INDUSTRI,Herbisida,042018602,2024-03-05,2029-03-05
316,JAFFA 480 SL,SYNAGRO PERKASA,Herbisida,01030120248500,2024-11-18,2029-11-18
317,Hogasan 27 AL,CIPTA KARYA UNGGULAN,Pestisida Rumah Tangga,06080120206930,2025-11-13,2030-11-13
318,PROTRIN 250 EC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,01010120134852,2023-08-28,2028-08-28
319,SANTACOL 80 WP,JIRONA AGRITAMA,Fungisida,01020120134717,2024-08-09,2029-08-09
320,SYMPHONY 100 EC,ADVANSIA INDOTANI,Insektisida,01010120175928,2022-12-05,2027-12-05
321,DAWALA 33 EC,AGRO JAYA INDUSTRI,Insektisida,01010120248249,2024-08-09,2029-08-09
322,TRIBUNE 54.2/15 WP,INDOIN BUSINESS GROUP,Fungisida,01020120206869,2025-11-13,2030-11-13
323,POLARIS 240 SL,NATHANI CHEMICALS,Herbisida,01030120093507,2024-11-18,2029-11-18
324,POSBAN 200 EC,SAPROTAN UTAMA NUSANTARA,Insektisida,01010120042124,2025-02-17,2030-02-17
325,CROPSTAR 200/125 SC,SAFEEKO BIO INDONESIA,Fungisida,01020120206824,2025-11-13,2030-11-13
326,NEO XONE 276 SL*,MAXXI AGRI INDONESIA,Herbisida,01030120237909,2023-08-28,2028-08-28
327,GELIAT 486 SL,FORAGRO MAJU SEJAHTERA,Herbisida,01030120165641,2022-10-04,2027-10-04
328,ARSENAL 75 WP,KUNIMA JAYA SELARAS,Fungisida,01020120124419,2023-04-26,2028-04-26
329,QUINSAT 500 SL,SURYA KARYA ANDALAN,Herbisida,01030120196470,2024-09-19,2029-09-19
330,JIFOS 160 SL,PT. FORTUNA MULIA SEJATI,Herbisida,01030120093451,2023-02-08,2028-02-08
331,SILDOK 50 EC,TRIDA KIMIA SAKTI,Insektisida,01010120113922,2025-07-11,2030-07-11
332,KEOMAS 60 WP,KRISTALINDO KARUNIA INTERNASIONAL,Moluskisida,01050120258954,2025-09-26,2030-09-26
333,BRODIFACOUM 95 TC,EASTCHEM AGROSCIENCE INDONESIA,Rodentisida,0420241270,2024-08-09,2029-08-09
334,DELADAXIN 50/90 SC,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Insektisida,01010120227513,2022-12-05,2027-12-05
335,Microcare IM,MARGA DWI KENCANA,Pestisida lain-lain,0420251438,2025-11-13,2030-11-13
336,CENTABAT 60 WP,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Fungisida,01020120196254,2024-08-09,2029-08-09
337,FLUMIOLIER 500 SC,MULTI AGRO JAYA UTAMA,Herbisida,01030120238126,2024-03-05,2029-03-05
338,AKOSIDRIN 50 EC,RAJA GROUP INDONESIA,Insektisida,01010120217230,2022-01-14,2027-01-14
339,OXAMYL 456 SL,INTI EVERSPRING INDONESIA,Insektisida,032017419,2023-04-26,2028-04-26
340,CASH FLOW 30 EC,CV. SAKASAKI INDONESIA,Insektisida,01010120248242,2024-08-09,2029-08-09
341,OK JOSS 276 SL,SARI KRESNA KIMIA,Herbisida,01030120259254,2026-01-20,2031-01-20
342,Windix 10/190 ME,KINGAGROOT BIOTECHNOLOGY INDONESIA,Herbisida,01030120269693,2026-07-16,2031-07-16
343,SHELTER 100 EC,MIO LIFE SCIENCES INDONESIA,Insektisida,01010120185989,2023-04-26,2028-04-26
344,TOXIPUT 5 GR,UNI AGRO CHEMICA,Moluskisida,01050119931133,2024-03-05,2029-03-05
345,ABASRI 80 OD,ADVANSIA INDOTANI,Herbisida,01030120248225,2024-08-09,2029-08-09
346,ABAMECTIN 95 % TC,AGRO JAYA INDUSTRI,Insektisida,0420231168,2023-08-28,2028-08-28
347,RUSH OUT 450 SL,INDO HOECHST,Insektisida,01010120175791,2022-12-05,2027-12-05
348,BALISTIC 50 SC,DELTA GIRI WACANA,Insektisida,01010120114027,2024-09-19,2029-09-19
349,GLUFOSINATE AMMONIUM 95 TC,REJEKI INDO AGROTEC,Herbisida,042021915,2026-01-20,2031-01-20
350,HEMAT 555 SL,SOLO LOGO INDONESIA,Herbisida,01030120155235,2024-09-19,2029-09-19
351,AMBLASH 510 SL,SOLO LOGO INDONESIA,Herbisida,01030120155207,2024-09-19,2029-09-19
352,ROVRAL 500 SC,BINA GUNA KIMIA,Fungisida,032024580,2025-02-17,2030-02-17
353,GAPLUS 40 SL,JAWA AGRINDO INTERNASIONAL,Zat Pengatur Tumbuh Tanaman,01040120258934,2025-09-26,2030-09-26
354,LULANGAN BLAST 200 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120259234,2026-01-20,2031-01-20
355,PILARBOMBA 53/106 SC,PILARQUIM AGROSCIENCE INDONESIA,Insektisida,01010120238042,2024-03-04,2029-03-04
356,SENSASI 250 EC,SINAR GENERAL INDUSTRIES,Fungisida,01020120258997,2025-09-26,2030-09-26
357,RESTACK WP,AGROKIMINDO KURNIABUANA,Insektisida,01010120001549,2026-07-16,2031-07-16
358,Goodknight 0.40 MC,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120258938,2025-09-26,2030-09-26
359,VICTORY MIX 8/64 WP,MULTI SARANA INDOTANI,Fungisida,01020120042165,2023-04-26,2028-04-26
360,DIFENTAM 480 SC,JAWA AGRINDO INTERNASIONAL,Herbisida,01030120144978,2024-09-19,2029-09-19
361,N-2000 ANTIMICROBIAL,BLUE CUBE INDONESIA,Pestisida lain-lain,0420251473,2026-01-20,2031-01-20
362,Manzate 82 WP,CATUR AGRODAYA MANDIRI,Fungisida,0102011979393,2022-01-14,2027-01-14
363,PROMOMIN 865 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120124504,2022-12-05,2027-12-05
364,MICROCARE CHD,TRITUNGGAL ARTHAMAKMUR,Bakterisida,0420221035,2022-06-27,2027-06-27
365,TIAMETOKSAM 98 TC,AGRO JAYA INDONESIA,Insektisida,0420231147,2023-04-26,2028-04-26
366,NEOLONE™ PHCG Preservative,BLUE CUBE INDONESIA,Bakterisida,042018582,2024-03-04,2029-03-04
367,KAPUAS 560 SC,TIGA MUARA EMAS MAKMUR,Fungisida,01020120186048,2023-04-26,2028-04-26
368,AMIPYR 670 EC,BIOWORLD BIOSCIENCES MANUFACTURING INDUSTRIES,Herbisida,01030120165480,2026-07-16,2031-07-16
369,BESROMIL 35 WP,TIARA BUANA MANDIRI,Fungisida,01020120114031,2026-01-20,2031-01-20
370,DKGLAMMO 200 SL,DANKEN INDONESIA,Herbisida,01030120165556,2026-07-16,2031-07-16
371,PROTECT 40/35 WP,EXINDO RAHARJA PRATAMA,Insektisida,01010120196379,2024-03-05,2029-03-05
372,FARMQUAT 276 SL*,FARMCO KIMIA,Herbisida,01030120124357,2023-08-28,2028-08-28
373,DACONIL 75 WP,EXINDO RAHARJA PRATAMA,Fungisida,010201197489,2025-09-26,2030-09-26
374,EXPLORE MAX 250 EC,DELTA GIRI WACANA,Fungisida,01020120134560,2022-06-27,2027-06-27
375,IMIDATOP PLUS 200 SL,JIRONA AGRITAMA,Bahan pengawet kayu,04110120134584,2024-03-05,2029-03-05
376,PACLO 15 WP,ARTHA BUANA MANDIRI,Zat Pengatur Tumbuh Tanaman,01040120083147,2024-03-04,2029-03-04
377,TENCHU 20 SG,AGRICULTURE CONSTRUCTION,Insektisida,01010120103852,2025-09-26,2030-09-26
378,KNOCKER 360 EC,AGROMANNA JAYA LESTARI,Insektisida,01010120134592,2022-12-05,2027-12-05
379,ML-THION 95 TC,YANNO AGRO SCIENCE INDONESIA,Insektisida,042007206,2025-11-13,2030-11-13
380,REVITHRIN 25 EC,ROYAL AGRO INDONESIA,Insektisida,01010120072700,2023-04-26,2028-04-26
381,SAFELURE AL,PANCA AGRO NIAGA LESTARI,Atraktan / Feromon,01140120206860,2025-07-11,2030-07-11
382,ATOZA 110 SC,ADVANSIA INDOTANI,Akarisida,01140120237845,2023-08-28,2028-08-28
383,STAND UP 240 SL,SOLO LOGO INDONESIA,Herbisida,01030120227587,2022-12-05,2027-12-05
384,GULMAXONE 276 SL*,TRIBINA TANIKARYA,Herbisida,01030120072867,2023-02-08,2028-02-08
385,ROLIDOR 25 EC,ROLIMEX KIMIA NUSAMAS,Insektisida,01010120031921,2024-03-05,2029-03-05
386,ACTICIDE MBR 1,JAYA WARINDO ABADI,Fungisida,042020868,2025-11-13,2030-11-13
387,HIT 1 STICK FU,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120196441,2024-11-18,2029-11-18
388,NOMOS 0.105MC,FUMAKILLA NOMOS,Pestisida Rumah Tangga,06080120196372,2024-09-19,2029-09-19
389,BAYGEST 40 SL,ARENA AGRO UTAMA,Zat Pengatur Tumbuh Tanaman,01040120134756,2024-03-05,2029-03-05
390,COMATCH 190/50 SC,SUNJOY AGRO INDONESIA,Insektisida,01010120237863,2023-08-28,2028-08-28
391,SUPRA 615 SL,NUFARM INDONESIA,Herbisida,01030120031933,2022-12-05,2027-12-05
392,RAMPART 25 WP,CATUR AGRODAYA MANDIRI,Fungisida,01020120042128,2024-08-09,2029-08-09
393,SCUD 50 EC,BIOTIS AGRINDO,Insektisida,01010120031926,2026-04-20,2031-04-20
394,GREATUP 480 SL,ARTHA MAKMUR ABADI,Herbisida,01030120144892,2024-08-09,2029-08-09
395,CER-ONE 10 PA,SINAR GENERAL INDUSTRIES,Zat Pengatur Tumbuh Tanaman,01040120114118,2022-01-14,2027-01-14
396,E-POST 15 WG,SUMANS MANDIRI SEJAHTERA,Herbisida,01030120227516,2022-12-05,2027-12-05
397,MAXXCIDE 77 WP,MAXXI AGRI INDONESIA,Fungisida,01020120258836,2025-07-11,2030-07-11
398,"SINAMORE 0,02/3,98 SL",SINAMYANG INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120238064,2024-03-04,2029-03-04
399,IMIDAKLOPRID 97 TC,AGRO JAYA INDONESIA,Insektisida,0420231134,2023-04-26,2028-04-26
400,ACE-ONE 75 SP,SINAR GENERAL INDUSTRIES,Insektisida,01010120114014,2026-07-16,2031-07-16
401,SIDAPYR 325 EC,PETROSIDA GRESIK,Insektisida,01010120175924,2023-02-08,2028-02-08
402,RIAPIR 290 EC,REJEKI INDO AGROTEC,Herbisida,01030120269643,2026-07-16,2031-07-16
403,RAFFESIA 130 EC,DOUTA UTAMAN INDONESIA,Herbisida,01030120217166,2025-09-26,2030-09-26
404,DUOTOP 40/400 SC,GRAHA AGRO,Insektisida,01010120269554,2026-07-16,2031-07-16
405,GLIFOMAX 480 SL,MAXXI AGRI INDONESIA,Herbisida,01030120155302,2025-09-26,2030-09-26
406,EMACEN ULTRA 100 EC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,01010120237873,2023-08-28,2028-08-28
407,STARNER 20 WP,NUFARM INDONESIA,Bakterisida,01060119951100,2023-02-08,2028-02-08
408,GOH IT 200 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120248493,2024-11-18,2029-11-18
409,MATEX 210 OD,Agro Bumi Timur,Insektisida,01010120258831,2025-07-11,2030-07-11
410,BIOX M248,BLUE CUBE INDONESIA,Pestisida lain-lain,0420241369,2025-02-17,2030-02-17
411,AMFURON 20 WG,ADIL MAKMUR FAJAR,Herbisida,01030120072707,2023-02-08,2028-02-08
412,SOFFELL LEAF 137 AL,HERLINA INDAH,Pestisida Rumah Tangga,06080120248550,2024-11-18,2029-11-18
413,VAPE 0.37 AE,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,032017403,2022-06-27,2027-06-27
414,Glufosinate-ammonium 95 TC,EASTCHEM AGROSCIENCE INDONESIA,Herbisida,0420241267,2024-08-09,2029-08-09
415,FENOSIDA 255 EC,PETROSIDA GRESIK,Fungisida,01020120093435,2023-08-28,2028-08-28
416,ACTELLIC 500 EC,SYNGENTA INDONESIA,Pestisida Pengendalian Vektor Penyakit Pada Manusia,0609011978355,2022-10-04,2027-10-04
417,ROCYTRIN 325 EC,SOLO LOGO INDONESIA,Insektisida,01010120206973,2025-09-26,2030-09-26
418,MIXTION 300/50 EC,INTI EVERSPRING INDONESIA,Insektisida,01010120248408,2024-09-19,2029-09-19
419,KUPROXAT 345 SC,CROP CARE INDONESIA,Fungisida,01020119991478,2024-08-09,2029-08-09
420,PILARSPIRIT 20/147 OD,PILARQUIM AGROSCIENCE INDONESIA,Herbisida,01030120227346,2022-06-27,2027-06-27
421,PRIMA-HIPO 400 SL,PRIMA KARYA BERJAYA,Insektisida,01010120093381,2024-08-09,2029-08-09
422,BENEFIT 75 WP,ASIA GALA KIMIA,Fungisida,01020120145040,2024-08-09,2029-08-09
423,MEZO 15 WG,SARI KRESNA KIMIA,Insektisida,01010120217157,2025-11-13,2030-11-13
424,PRIMA-SIP 50 EC,PRIMA KARYA BERJAYA,Insektisida,01010120175885,2023-02-08,2028-02-08
425,WOLKY 60 WG,RAINBOW AGROSCIENCES,Herbisida,01030120134649,2022-10-04,2027-10-04
426,CHLORFENAPYR 98 TC,MULTI SARANA INDOTANI,Insektisida,0420221014,2022-06-27,2027-06-27
427,XANDERS 865 SL,BAHTERA BONIAGA LESTARI,Herbisida,01030120062198,2026-04-20,2031-04-20
428,TESLA 495 EC,GRAHA AGRITECH PRIMA,Fungisida,01020120175929,2023-04-26,2028-04-26
429,PASSPORT 28 EC,GLOBAL AGROTECH,Insektisida,01010120083281,2023-04-26,2028-04-26
430,ACTICIDE DCX 30,JAYA WARINDO ABADI,Fungisida,0420251385,2025-07-11,2030-07-11
431,BESTAN 60 WP,BERKAH SUMBER SUKSES,Moluskisida,01050120196417,2024-09-19,2029-09-19
432,RAMPART-MAX 317 FS,UPL INDONESIA,Fungisida,01020120175922,2023-04-26,2028-04-26
433,BUZZ ULTRA 75 WG,AGRO INSANI SEMESTA,Fungisida,01020120196513,2025-02-17,2030-02-17
434,MIRAI 200 DAYS,OSIMO INDONESIA,Pestisida Rumah Tangga,032024563,2024-11-18,2029-11-18
435,DELTAMETHRIN 98 TC,GELPI KURNIALESTARI,Insektisida,042009251,2023-04-26,2028-04-26
436,MERKURY 75 WP,SINAR GENERAL INDUSTRIES,Fungisida,01020120114033,2021-11-18,2026-11-18
437,HIT 66.667 MV,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120186189,2024-08-09,2029-08-09
438,KENISA 280 SC,ARTHA BUANA MANDIRI,Fungisida,01020120185963,2023-04-26,2028-04-26
439,NAGANO 30/50 EC,CV INDO AGRO CHEMICAL,Insektisida,01010120227679,2023-02-08,2028-02-08
440,ENDURE 120 SC,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Insektisida,01010120093431,2022-06-27,2027-06-27
441,PASSXONE 276 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120206959,2025-11-13,2030-11-13
442,PROFENOFOS 94 TC,BIOTIS AGRINDO,Insektisida,042019796,2024-09-19,2029-09-19
443,BESTION 500 EC,PETROSIDA GRESIK,Insektisida,01010120259176,2026-01-20,2031-01-20
444,VALERA 200 EC,SARI KRESNA KIMIA,Insektisida,01010120073004,2025-11-13,2030-11-13
445,FLUROKSIPIR MEPTIL 95 TC,AGRO JAYA INDONESIA,Herbisida,0420221020,2022-06-27,2027-06-27
446,SPONTANKING 400 SL,AGRICULTURE CONSTRUCTION,Insektisida,01010120011650,2022-06-27,2027-06-27
447,QILURAM FULL 25 WG,QILU CROP SCIENCE,Insektisida,01010120269633,2026-07-16,2031-07-16
448,TERMIBAN 400 EC,PETROKIMIA KAYAKU,Bahan pengawet kayu,0411011990929,2025-07-11,2030-07-11
449,P.MEC 36 EC,PRIMA AGRO PERKASA,Insektisida,01010120165526.,2021-10-12,2026-10-12
450,GANAS 5 WG,CV PLANET AGRONUSA,Zat Pengatur Tumbuh Tanaman,01040120227408,2022-10-04,2027-10-04
451,KUMBOKARNO 3 GR,DELTA GIRI WACANA,Insektisida,01010120259230,2026-01-20,2031-01-20
452,COLANTA 70 WP,SARI KIMIA UNGGUL,Fungisida,01020120062390,2025-11-13,2030-11-13
453,ATRAZINE 97 TC,RAINBOW AGROSCIENCES,Herbisida,0420221045,2022-10-04,2027-10-04
454,BALEDO 250/50 SC,ZENITH CROPSCIENCES INDONESIA,Insektisida,01010120206599,2025-02-17,2030-02-17
455,INDOMECTIN 120/40 SC,EXINDO RAHARJA PRATAMA,Insektisida,01010120237894,2023-08-28,2028-08-28
456,Proxel K31G,ARXADA CHEMICALS INDONESIA,Pestisida lain-lain,0420251407,2025-09-26,2030-09-26
457,TIRAMO 80 WP,MULTI SARANA INDOTANI,Fungisida,01020120186159,2023-04-26,2028-04-26
458,DENNIS 75 WP,DELTAGRO MULIA SEJATI,Fungisida,01020120072858,2026-04-20,2031-04-20
459,DELTAMETHRIN 98 TC,INTI EVERSPRING INDONESIA,Insektisida,042021979,2026-01-20,2031-01-20
460,KIXAC 130 CS,BASF INDONESIA,Herbisida,01030120259080,2025-11-13,2030-11-13
461,HEXYTHIAZOX 98 TC,SOLO LOGO INDONESIA,Akarisida,0420251459,2026-01-20,2031-01-20
462,PROMOZE 250 EC,TIGA MUARA EMAS MAKMUR,Fungisida,01020120196468,2024-03-05,2029-03-05
463,MESOTRAZIN 50/500 SC,EXINDO RAHARJA PRATAMA,Herbisida,01030120248406,2024-09-19,2029-09-19
464,GARLON ULTRA 667.6 EC,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Herbisida,01030120227649,2023-02-08,2028-02-08
465,BESTOX 50 EC,BINA GUNA KIMIA,Insektisida,01010119951177,2022-10-04,2027-10-04
466,DEKAPIRIM 400 SC,HARINA CHEMICALS INDUSTRI,Insektisida,01010120186114,2023-04-26,2028-04-26
467,EUVORA 80 WP,KUNIMA JAYA SELARAS,Fungisida,01020120124416,2023-04-26,2028-04-26
468,EMCLOPIR 300/20 EC,MAJU MAKMUR UTOMO,Insektisida,01010120186028,2023-08-28,2028-08-28
469,MONOSULTAP 95 TC,DALZON CHEMICALS INDONESIA,Insektisida,042007213,2022-01-14,2027-01-14
470,METSULFURON METHYL 96 TC,SURYA AGROKEMINDO PERKASA,Herbisida,042018656,2024-03-04,2029-03-04
471,DIFENOCONAZOLE 95 TC,RAINBOW AGROSCIENCES,Fungisida,042019734,2024-09-19,2029-09-19
472,PROSULFOCARB 800 EC,INDO-SINO AGROCHEMICAL,Herbisida,032026643,2026-04-20,2031-04-20
473,ADEMO 150 SL,SINAR GENERAL INDUSTRIES,Herbisida,01030120258897,2025-09-26,2030-09-26
474,OXAMYL 100 SL,INTI EVERSPRING INDONESIA,Insektisida,032017420,2023-04-26,2028-04-26
475,EPOKSIKONAZOL 97 TC,MULTI AGRO JAYA UTAMA,Fungisida,0420221093,2023-02-08,2028-02-08
